Sno,Customer_ID,Product_ID,Return_Type,Amount,Difference_days,Rating
293,9236146,XDD-7043,0,300,3,1.7
294,9236186,X-2291,0,289,3,4.1
295,9236119,HMTB-TT9028,0,239,3,4.2
296,9236154,XDD-7072,0,279,4,4.6
297,9236141,XDD-7039,1,319,4,4
298,9236064,XDD-7013,0,336,3,2.1
299,9236071,X-2285,0,329,2,4.2
300,9236012,X-2293,1,239,3,1.9
301,9236004,X-6004,0,376,3,2.6
302,9236017,XB-2262,0,289,3,2
303,9236162,XDD-7044,0,300,4,3.8
304,9236187,HMTS-S9021,1,305,3,2.7
305,9236048,X-3005,0,402,2,2.7
306,9236189,X-2290,0,559,3,3
307,9236187,X-2280,1,600,5,1.8
308,9236049,X-2285,0,239,3,4.2
309,9236161,X-2287,0,539,2,2.1
310,9236050,XDD-7034,0,300,2,3.1
311,9236179,X-2283,0,300,2,3.9
312,9236177,XDD-7065,0,376,3,3.8
313,9236144,XDD-7052,0,371,2,1.6
314,9236156,X-6009,0,300,2,4.8
315,9236193,X-2270,0,376,4,2.7
316,9236112,X-6015,0,249,4,3.2
317,9236097,XDD-7062,0,364,4,3.5
318,9236116,X-2290,0,371,4,3
319,9236105,X-2257,0,381,3,2.8
320,9236177,X-2231,0,651,2,2
321,9236061,HMTS-B9037,0,371,5,2.6
322,9236154,X-2285,0,300,3,4.2
323,9236104,X-2287,0,289,3,2.1
324,9236132,HM-GB9006,0,352,4,4.2
325,9236011,C041,0,392,2,2
326,9236117,HMTS-S9020,0,531,3,4.7
327,9236043,AXE-1143NL01,0,301,3,2.3
328,9236041,X-2265,0,239,4,2.8
329,9236032,HM-SB9002,0,239,1,2.2
330,9236185,XDD-7072,0,531,1,4.6
331,9236081,HMTG-G9016,0,338,3,2.5
332,9236099,X1182MS-Black,0,651,1,4.6
333,9236072,XDD-7071,0,404,3,3.4
334,9236135,XDD-7062,0,364,6,3.5
335,9236074,HMTG-G9016,0,404,3,2.5
336,9236166,HM-GG9013,0,651,1,2.8
337,9236150,XDD-7036,0,651,2,4.7
338,9236136,C035,0,344,2,3.6
339,9236018,X-6001,0,332,2,2.8
340,9236172,XDD-7081,0,540,4,3.2
341,9236188,X-2270,0,289,3,2.7
342,9236035,XDD-7052,0,239,3,1.6
343,9236119,X-6006,1,331,3,3.8
344,9236109,HMTB-TT9028,0,334,3,4.2
345,9236042,X1115SM01,0,371,4,2.9
346,9236069,X1158MS-Black,0,300,4,2.5
347,9236019,X-6008,0,300,3,3.7
348,9236124,XB-2262,0,279,2,2
349,9236176,HMTG-TT9033,0,300,3,2.8
350,9236037,XDD-7062,0,322,3,3.5
351,9236099,X-6027,1,381,5,2
352,9236146,XDD-7036,1,336,6,4.7
353,9236132,HMTG-TT9033,1,0,0,2.8
354,9236090,X-2273,0,371,3,2.2
355,9236164,X-6006,0,300,2,3.8
356,9236161,C031,0,256,2,2.7
357,9236067,XDD-7031,1,289,2,2.1
358,9236057,X-7053,1,381,2,2
359,9236069,XDD-7075,0,338,5,4
360,9236131,X-2116,0,569,2,2.9
361,9236069,C035,0,338,1,3.6
362,9236090,X-2266,0,306,4,3.6
363,9236116,HMTS-B9024,0,329,3,2.8
364,9236127,X-2277,0,300,3,2
365,9236163,X-6005,0,239,4,3.5
366,9236081,X-2292,1,239,3,2.1
367,9236071,XDD-7036,0,299,10,4.7
368,9236012,HMTG-TT9019,1,262,3,4.7
369,9236138,XDD-7034,1,728,4,3.1
370,9236184,XDD-7092,1,261,3,3.5
371,9236178,X-2265,1,0,0,2.8
372,9236053,XDD-7065,0,389,3,3.8
373,9236067,XDD-7065,0,329,2,3.8
374,9236131,X-7003,1,319,3,3.6
375,9236177,X-2258,0,651,1,1.5
376,9236104,X1182MS-Black,0,319,2,4.6
377,9236059,HMTS-S9021,0,322,4,2.7
378,9236090,X-2258,1,0,0,1.5
379,9236168,X-6027,0,239,6,2
380,9236077,XDD-7065,0,302,1,3.8
381,9236072,HMTG-TT9009,0,300,3,3.3
382,9236179,X3503WWS,1,336,3,2.6
383,9236115,HM-GG9010,0,282,3,2.5
384,9236104,XDD-7013,0,260,6,2.1
385,9236158,XDD-7081,0,279,3,3.2
386,9236149,XDD-7081,1,1276,2,3.2
387,9236077,XDD-7081,0,239,2,3.2
388,9236114,HMTG-TT9018,0,331,4,4.3
389,9236153,XDD-7036,1,239,3,4.7
390,9236022,AXE-1143NL01,0,260,3,2.3
391,9236049,HM-SB9003,1,398,3,2.8
392,9236046,X-2116,1,0,0,2.9
393,9236087,HMTS-B9022,0,303,4,1.5
394,9236178,X-2286,0,300,4,1.9
395,9236090,X2251,0,531,3,4.6
396,9236027,HMTS-S9021,0,319,4,2.7
397,9236044,XDD-7039,1,531,1,4
398,9236051,XDD-7075,1,302,12,4
399,9236123,HMTG-TT9009,0,531,4,3.3
400,9236117,XDD-7040,1,404,5,4.7
401,9236119,HMTS-B9036,0,519,6,1.9
402,9236014,XDD-7034,0,331,14,3.1
403,9236146,HMTS-B9023,1,282,3,2.1
404,9236092,XDD-7064,1,288,6,2.6
405,9236168,XDD-7052,1,699,3,1.6
406,9236045,X-7003,0,331,4,3.6
407,9236071,XDD-7081,0,264,1,3.2
408,9236172,HMTG-TT9019,0,339,2,4.7
409,9236198,X-6005,1,239,2,3.5
410,9236016,X-2280,0,559,3,1.8
411,9236041,X-7003,0,239,3,3.6
412,9236136,X-3005,0,371,2,2.7
413,9236017,X-1116SL01,1,0,0,2
414,9236192,X-2266,0,300,4,3.6
415,9236109,HM-GG9013,1,381,4,2.8
416,9236023,C029,0,260,2,1.9
417,9236165,XDD-7075,0,260,3,4
418,9236199,HMTG-TT9019,0,300,4,4.7
419,9236119,HMTS-S9021,1,300,3,2.7
420,9236132,HMTS-B9035,0,300,5,4.6
421,9236116,X-6015,0,381,22,3.2
422,9236058,X-2290,1,371,3,3
423,9236141,X-6011,0,404,3,4
424,9236150,X-2269,0,371,3,4
425,9236061,X-7003,1,371,2,3.6
426,9236194,HMTS-B9035,0,289,4,4.6
427,9236112,HM-GG9008,0,239,4,3.6
428,9236146,X-2286,0,304,2,1.9
429,9236091,HMTS-S9021,1,289,2,2.7
430,9236191,X1182MS-Black,0,404,4,4.6
431,9236088,HMTG-G9011,0,371,2,2.6
432,9236135,XDD-7031,1,371,5,2.1
433,9236028,XDD-1028,0,300,3,2.3
434,9236046,HM-GG9501,1,199,2,2.6
435,9236149,X-6055,0,371,3,3.5
436,9236126,X-2291,0,740,2,4.1
437,9236012,X1165KL01,0,569,3,2.9
438,9236092,XDD-7034,0,300,4,3.1
439,9236056,HMTG-TT9033,0,371,2,2.8
440,9236057,XDD-7036,0,239,3,4.7
441,9236013,X1115SM01,1,531,3,2.9
442,9236154,X-2292,0,371,4,2.1
443,9236197,XDD-7035,0,322,4,4.3
444,9236190,HMTB-TT9028,0,371,2,4.2
445,9236153,C041,0,239,3,2
446,9236017,X-2280,0,279,4,1.8
447,9236149,X1115SM02,0,300,4,4.5
448,9236198,X-2266,0,326,2,3.6
449,9236139,X1165KL01,0,300,4,2.9
450,9236168,X-2116,0,825,5,2.9
451,9236054,X-6005,1,381,5,3.5
452,9236073,X-6015,1,371,4,3.2
453,9236011,XDD-7032,0,314,2,1.9
454,9236134,X3503WWS,1,0,0,2.6
455,9236038,C035,0,289,4,3.6
456,9236136,HM-GS9005,0,260,8,4.7
457,9236088,X-2257,0,260,4,2.8
458,9236169,X-1201,0,359,4,2.2
459,9236190,X-2257,0,371,6,2.8
460,9236156,X-2116,0,531,3,2.9
461,9236141,X-2261,1,371,4,2
462,9236167,X3503WWS,0,239,3,2.6
463,9236079,X-3005,0,256,3,2.7
464,9236121,X-2287,0,651,3,2.1
465,9236179,X-2273,0,352,3,2.2
466,9236197,C031,0,301,3,2.7
467,9236020,X1115SM02,0,682,4,4.5
468,9236050,XDD-7072,1,331,4,4.6
469,9236142,XDD-7013,0,371,4,2.1
470,9236199,XDD-8005,0,289,3,2.6
471,9236126,XDD-7043,0,569,3,1.7
472,9236018,X-2258,0,338,3,1.5
